Instrument Serial Num,Reading #,Date,Time,Method Name,Test Label,Collimation Status,Units,Mg Concentration,Mg Error1s,Al Concentration,Al Error1s,Si Concentration,Si Error1s,P Concentration,P Error1s,S Concentration,S Error1s,Sc Concentration,Sc Error1s,Ti Concentration,Ti Error1s,V Concentration,V Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Co Concentration,Co Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,As Concentration,As Error1s,Sr Concentration,Sr Error1s,Zr Concentration,Zr Error1s,Nb Concentration,Nb Error1s,Mo Concentration,Mo Error1s,Pd Concentration,Pd Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Sn Concentration,Sn Error1s,Sb Concentration,Sb Error1s,Hf Concentration,Hf Error1s,Ta Concentration,Ta Error1s,W Concentration,W Error1s,Re Concentration,Re Error1s,Au Concentration,Au Error1s,Pb Concentration,Pb Error1s,Bi Concentration,Bi Error1s,Lab_ID,Description,Notes,Real Time 1,Real Time 2
823396,4,########,18:20:20,alloyPlus-Extra,4,No,%,0,0.17224,5.61382,0.04278,29.4588,0.03606,1.15634,0.00716,0,0.01147,,,0.19685,0.00553,0,0.01474,0,0.01711,0.23488,0.00261,3.43967,0.00754,0.03573,0.00208,0.02542,0.00137,58.0165,0.03927,0.16539,0.0031,0,0.00972,0,0.00115,0.00453,0.00033,0,0.0014,0,0.00172,0,0.00852,0,0.00919,0,0.01015,0.31527,0.00303,0,0.02296,0,0.03602,0,0.00701,0,0.01282,0,0.00627,0,0.00671,1.33679,0.00496,0,0.00864,I4,01-Mar,,40,40
823396,5,########,18:23:52,alloyPlus-Extra,5,No,%,0,0.19543,4.95444,0.04136,27.60188,0.03551,1.03587,0.00663,0,0.0108,,,0.14975,0.00499,0,0.01751,0,0.02036,0.15867,0.0022,3.1606,0.00712,0.03204,0.00197,0.02434,0.00138,61.52739,0.04005,0.14547,0.00316,0,0.00839,0,0.00102,0.00365,0.00034,0,0.0014,0.00104,0.00031,0,0.00821,0,0.00879,0,0.00981,0.19249,0.0026,0,0.02233,0,0.03691,0,0.00686,0,0.0119,0,0.00605,0,0.0059,1.01235,0.00443,0,0.00751,I4,02-Mar,,40,40
823396,6,########,18:26:00,alloyPlus-Extra,6,No,%,0,0.17406,4.4112,0.04063,25.62131,0.03515,1.01009,0.00673,0.08655,0.00397,,,0.1355,0.00486,0,0.0153,0,0.01849,0.07428,0.0017,3.70872,0.0077,0.04235,0.00213,0.03106,0.00146,63.45546,0.04044,0.16769,0.00329,0,0.00845,0,0.00106,0.00429,0.00036,0,0.00138,0,0.00164,0,0.0081,0,0.00874,0,0.00977,0.16989,0.00259,0,0.02202,0,0.03617,0,0.00689,0,0.01202,0,0.0061,0,0.00604,1.08162,0.00466,0,0.00748,I4,03-Mar,,40,40
823396,7,########,18:29:16,alloyPlus-Extra,7,No,%,0,0.11312,16.44598,0.06428,37.61511,0.04693,2.36321,0.01169,0.01391,0.00403,1.16776,0.00344,0.73129,0.01385,0.0381,0.00501,0.01242,0.00229,0.05348,0.0023,6.4594,0.01434,0,0.01057,0.00681,0.00128,32.03207,0.03414,0.08529,0.00284,0,0.00338,0.02811,0.00044,0.03495,0.00048,0,0.00193,0,0.00257,0,0.01312,0,0.01355,0,0.01522,2.81545,0.00805,0,0.03901,0,0.03584,0,0.00717,0,0.0102,0,0.00674,0,0.00477,0.09292,0.00136,0.00373,0.00067,I87,01-Mar,,40,40
823396,8,########,18:31:48,alloyPlus-Extra,8,No,%,0,0.13974,16.8434,0.06741,36.24491,0.0488,2.28163,0.01184,0.04043,0.00443,0.98507,0.00336,0.71635,0.01606,0.03363,0.00583,0.01388,0.00274,0.04254,0.0026,6.38694,0.0164,0,0.01169,0.01162,0.00155,32.29634,0.03712,0.07252,0.00328,0.0294,0.00202,0.01972,0.00044,0.02578,0.00049,0,0.00232,0,0.00312,0,0.01574,0,0.01625,0,0.01868,3.77077,0.01079,0.06016,0.00366,0,0.0494,0,0.01004,0,0.01431,0,0.00986,0,0.00675,0.12492,0.00182,0,0.00643,I87,02-Mar,,40,40
823396,9,########,18:34:49,alloyPlus-Extra,9,No,%,0,0.11176,15.42177,0.06457,35.35793,0.04603,2.03925,0.01098,0.02351,0.00399,1.12895,0.0034,0.66485,0.01363,0.02633,0.00492,0.01676,0.00239,0.04154,0.00225,6.15915,0.01424,0,0.01042,0.00959,0.00139,35.2079,0.0369,0.08294,0.00305,0.01839,0.00178,0.03079,0.00049,0.0257,0.00046,0,0.00194,0,0.00259,0,0.01321,0,0.0137,0,0.01565,3.58076,0.00962,0.03838,0.00339,0,0.03865,0,0.00764,0,0.01172,0,0.00742,0,0.0057,0.12281,0.00164,0.00269,0.00073,I87,03-Mar,,40,40
823396,10,########,18:37:36,alloyPlus-Extra,10,No,%,0,0.21374,5.38068,0.0471,25.08459,0.03907,1.13959,0.00744,0.01817,0.00318,,,0.2218,0.00807,0,0.01892,0,0.02209,0.01767,0.00177,5.64333,0.01202,0,0.01563,0.01596,0.0016,54.16948,0.04148,0.03706,0.00342,0.36666,0.00456,0,0.00127,0.00459,0.00035,0,0.00151,0.0116,0.00044,0,0.00988,0,0.01094,0,0.01291,7.13297,0.01441,0.15362,0.00402,0,0.04001,0,0.00792,0,0.01679,0,0.00752,0,0.00961,0.60224,0.00375,0,0.00717,I88,01-Mar,,40,40
823396,11,########,18:39:53,alloyPlus-Extra,11,No,%,0,0.18753,5.20329,0.04353,22.94304,0.03567,1.14167,0.00686,0,0.0089,,,0.26928,0.00781,0.03074,0.00352,0,0.01939,0.05952,0.00211,11.60692,0.01636,0,0.02074,0.01886,0.00165,52.16427,0.0375,0.02705,0.00333,0.26237,0.00401,0.00795,0.00032,0.00739,0.00035,0,0.00138,0.00649,0.00038,0,0.00936,0,0.01012,0,0.01209,5.55023,0.0119,0.14916,0.00369,0,0.03555,0,0.007,0,0.01431,0,0.00684,0,0.00818,0.55178,0.0034,0,0.00659,I88,02-Mar,,40,40
823396,12,########,18:42:36,alloyPlus-Extra,12,No,%,0,0.20021,5.15982,0.04189,25.41612,0.03559,1.16545,0.00674,0.01346,0.00336,,,0.18839,0.007,0,0.01834,0,0.02149,0.01846,0.00161,5.29007,0.01063,0,0.01439,0.01625,0.00146,54.77904,0.0378,0.05154,0.00318,0.36256,0.00465,0,0.0011,0.00353,0.00032,0,0.00136,0.00444,0.00035,0,0.00882,0,0.00976,0,0.01155,6.58586,0.01274,0.1465,0.00358,0,0.03585,0,0.00709,0,0.01621,0,0.00679,0,0.00945,0.79851,0.00399,0,0.00733,I88,03-Mar,,40,40
823396,13,########,18:46:23,alloyPlus-Extra,13,No,%,0,0.25556,5.3221,0.04045,23.2986,0.03317,0.97909,0.00576,0.19699,0.00291,,,0.20129,0.00552,0,0.02507,0,0.03073,0.00659,0.00112,0.86785,0.00388,0,0.00762,0.0044,0.00121,66.09171,0.04032,0.00905,0.00299,0.24541,0.00254,0,0.0008,0.01306,0.00041,0,0.0013,0,0.00157,0,0.00763,0,0.00821,0,0.00958,2.64413,0.00793,0,0.02219,0,0.03454,0,0.00559,0,0.01126,0,0.00544,0,0.00591,0.11975,0.00159,0,0.00357,I84,01-Mar,,40,40
